step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1285,78,33469,371.8777778,1.662510357,78,39243,0.062727997,78,39243
1290,80,33863,368.076087,1.413533759,80,39597,0.062954568,80,39597
1295,76,34199,384.258427,0.9446276,76,39929,0.049891704,76,39929
1300,76,34561,360.0104167,1.858519148,76,40220,0.078102805,76,40220
1305,78,34951,364.0729167,2.47140007,78,40557,0.066622791,78,40557
1310,72,33609,346.4845361,2.141449113,72,39222,0.087319706,72,39222
1315,68,31114,341.9120879,2.095961991,68,37133,0.094310682,68,37133
1320,59,28890,307.3404255,2.848693415,59,33842,0.101630072,59,33842
1325,53,26883,292.2065217,2.977603144,53,34051,0.137754897,53,34051
1330,52,25733,282.7802198,3.036966795,52,34230,0.151214892,52,34230
1335,61,26017,276.7765957,3.03036269,61,34459,0.121326178,61,34459
1340,68,26341,268.7857143,2.671297825,68,34733,0.108522826,68,34733
1345,75,26692,280.9684211,1.678638882,75,35036,0.071632859,75,35036
1350,82,27089,273.6262626,1.785347319,82,35385,0.080695855,82,35385
1355,87,27517,286.6354167,1.132665452,87,35763,0.040447514,87,35763
1360,88,27957,276.8019802,1.670037061,88,36153,0.075129013,88,36153
1365,88,28397,289.7653061,1.197028767,88,36543,0.04844114,88,36543
1370,84,28486,282.039604,1.383778607,84,36791,0.068411387,84,36791
1375,80,28713,287.13,1.76217987,80,36924,0.085858246,80,36924
1380,80,29113,285.4215686,2.369445041,80,37100,0.085683228,80,37100
1385,78,29466,288.8823529,1.824042202,78,37415,0.067555799,78,37415
1390,80,29865,295.6930693,2.181459628,80,37732,0.075294409,80,37732
1395,82,30269,302.69,2.307223277,82,38076,0.061839198,82,38076
1400,82,30679,313.0510204,2.09357783,82,38426,0.084007701,82,38426
1405,79,30988,326.1894737,1.256939165,79,38721,0.070569498,79,38721
1410,79,31378,333.8085106,1.600847809,79,38998,0.06450837,79,38998
1415,81,31780,327.628866,1.703038879,81,39336,0.064180618,81,39336
1420,78,32133,331.2680412,1.639404125,78,39656,0.05672238,78,39656
1425,77,32510,342.2105263,1.939722932,77,39954,0.087695124,77,39954
1430,77,32895,342.65625,2.147208037,77,40271,0.071586173,77,40271
